[08-09 19:31] finish watcher started (target 40 base + 40 ft)
[08-09 19:31] base=11/40 ft=8/40 | queue: thunder=26 backfill=1 | rank curves: r64=5/6 r128=4/6
[08-09 19:46] base=11/40 ft=8/40 | queue: thunder=26 backfill=1 | rank curves: r64=5/6 r128=4/6
[08-09 20:01] base=11/40 ft=9/40 | queue: thunder=25 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 20:16] base=11/40 ft=12/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 20:31] base=11/40 ft=12/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 20:46] base=11/40 ft=13/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 21:01] base=11/40 ft=13/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 21:16] base=11/40 ft=13/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 21:31] base=11/40 ft=13/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 21:46] base=11/40 ft=13/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 22:01] base=11/40 ft=14/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 22:16] base=11/40 ft=14/40 | queue: thunder=24 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 22:31] base=11/40 ft=16/40 | queue: thunder=23 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 22:46] base=11/40 ft=17/40 | queue: thunder=23 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 23:01] base=11/40 ft=17/40 | queue: thunder=23 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 23:16] base=11/40 ft=17/40 | queue: thunder=23 backfill=0 | rank curves: r64=6/6 r128=4/6
[08-09 23:31] base=11/40 ft=18/40 | queue: thunder=22 backfill=0 | rank curves: r64=6/6 r128=4/6
