[08-09 15:40] supervisor started (pause<40G, resume>150G)
[08-09 15:40] ok: /data 4406G, pilot_up=1, 27 vthd jobs outstanding
[08-09 15:50] ok: /data 5270G, pilot_up=1, 27 vthd jobs outstanding
[08-09 16:00] ok: /data 5245G, pilot_up=1, 27 vthd jobs outstanding
[08-09 16:10] ok: /data 5388G, pilot_up=1, 27 vthd jobs outstanding
[08-09 16:20] ok: /data 5384G, pilot_up=1, 27 vthd jobs outstanding
[08-09 16:30] ok: /data 5381G, pilot_up=1, 27 vthd jobs outstanding
[08-09 16:40] ok: /data 5319G, pilot_up=1, 27 vthd jobs outstanding
[08-09 16:50] ok: /data 5247G, pilot_up=1, 27 vthd jobs outstanding
[08-09 17:00] ok: /data 5197G, pilot_up=1, 27 vthd jobs outstanding
[08-09 17:10] ok: /data 5185G, pilot_up=1, 26 vthd jobs outstanding
[08-09 17:20] ok: /data 5170G, pilot_up=1, 26 vthd jobs outstanding
[08-09 17:30] ok: /data 5156G, pilot_up=1, 26 vthd jobs outstanding
[08-09 17:40] ok: /data 5151G, pilot_up=1, 26 vthd jobs outstanding
[08-09 17:50] ok: /data 5099G, pilot_up=1, 26 vthd jobs outstanding
[08-09 18:00] ok: /data 5098G, pilot_up=1, 26 vthd jobs outstanding
[08-09 18:10] ok: /data 5093G, pilot_up=1, 26 vthd jobs outstanding
[08-09 18:20] ok: /data 5091G, pilot_up=1, 26 vthd jobs outstanding
[08-09 18:30] ok: /data 5090G, pilot_up=1, 26 vthd jobs outstanding
[08-09 18:40] ok: /data 5043G, pilot_up=1, 26 vthd jobs outstanding
[08-09 18:50] ok: /data 4989G, pilot_up=1, 26 vthd jobs outstanding
[08-09 19:00] ok: /data 5149G, pilot_up=1, 26 vthd jobs outstanding
[08-09 19:10] ok: /data 5014G, pilot_up=1, 26 vthd jobs outstanding
[08-09 19:20] ok: /data 5043G, pilot_up=1, 26 vthd jobs outstanding
[08-09 19:30] ok: /data 5106G, pilot_up=1, 26 vthd jobs outstanding
[08-09 19:40] ok: /data 5108G, pilot_up=1, 26 vthd jobs outstanding
[08-09 19:50] ok: /data 5148G, pilot_up=1, 26 vthd jobs outstanding
[08-09 20:00] ok: /data 5107G, pilot_up=1, 25 vthd jobs outstanding
[08-09 20:10] ok: /data 5083G, pilot_up=1, 24 vthd jobs outstanding
[08-09 20:20] ok: /data 5155G, pilot_up=1, 24 vthd jobs outstanding
[08-09 20:30] ok: /data 5127G, pilot_up=1, 24 vthd jobs outstanding
[08-09 20:40] ok: /data 5110G, pilot_up=1, 24 vthd jobs outstanding
[08-09 20:50] ok: /data 5155G, pilot_up=1, 24 vthd jobs outstanding
[08-09 21:00] ok: /data 5154G, pilot_up=1, 24 vthd jobs outstanding
[08-09 21:10] ok: /data 5153G, pilot_up=1, 24 vthd jobs outstanding
[08-09 21:20] ok: /data 5153G, pilot_up=1, 24 vthd jobs outstanding
[08-09 21:30] ok: /data 5152G, pilot_up=1, 24 vthd jobs outstanding
[08-09 21:40] ok: /data 5152G, pilot_up=1, 24 vthd jobs outstanding
[08-09 21:50] ok: /data 5152G, pilot_up=1, 24 vthd jobs outstanding
[08-09 22:00] ok: /data 5152G, pilot_up=1, 24 vthd jobs outstanding
[08-09 22:10] ok: /data 5152G, pilot_up=1, 24 vthd jobs outstanding
[08-09 22:20] ok: /data 5152G, pilot_up=1, 23 vthd jobs outstanding
[08-09 22:30] ok: /data 5152G, pilot_up=1, 23 vthd jobs outstanding
[08-09 22:40] ok: /data 5151G, pilot_up=1, 23 vthd jobs outstanding
[08-09 22:50] ok: /data 5151G, pilot_up=1, 23 vthd jobs outstanding
[08-09 23:00] ok: /data 5133G, pilot_up=1, 23 vthd jobs outstanding
[08-09 23:10] ok: /data 5135G, pilot_up=1, 23 vthd jobs outstanding
[08-09 23:20] ok: /data 5151G, pilot_up=1, 23 vthd jobs outstanding
[08-09 23:30] ok: /data 5151G, pilot_up=1, 23 vthd jobs outstanding
[08-09 23:40] ok: /data 5151G, pilot_up=1, 21 vthd jobs outstanding
[08-09 23:50] ok: /data 5151G, pilot_up=1, 20 vthd jobs outstanding
[08-10 00:00] ok: /data 5151G, pilot_up=1, 20 vthd jobs outstanding
[08-10 00:10] ok: /data 5153G, pilot_up=1, 17 vthd jobs outstanding
[08-10 00:20] ok: /data 5151G, pilot_up=1, 15 vthd jobs outstanding
[08-10 00:30] ok: /data 5150G, pilot_up=1, 15 vthd jobs outstanding
[08-10 00:40] ok: /data 5148G, pilot_up=1, 15 vthd jobs outstanding
[08-10 00:50] ok: /data 5147G, pilot_up=1, 15 vthd jobs outstanding
[08-10 01:00] ok: /data 5146G, pilot_up=1, 15 vthd jobs outstanding
[08-10 01:10] ok: /data 5144G, pilot_up=1, 15 vthd jobs outstanding
[08-10 01:20] ok: /data 5144G, pilot_up=1, 15 vthd jobs outstanding
[08-10 01:30] ok: /data 5143G, pilot_up=1, 14 vthd jobs outstanding
[08-10 01:40] ok: /data 5143G, pilot_up=1, 13 vthd jobs outstanding
[08-10 01:50] ok: /data 5142G, pilot_up=1, 13 vthd jobs outstanding
[08-10 02:00] ok: /data 5142G, pilot_up=1, 13 vthd jobs outstanding
[08-10 02:10] ok: /data 5142G, pilot_up=1, 13 vthd jobs outstanding
[08-10 02:20] ok: /data 5142G, pilot_up=1, 13 vthd jobs outstanding
[08-10 02:30] ok: /data 5141G, pilot_up=1, 13 vthd jobs outstanding
[08-10 02:40] ok: /data 5141G, pilot_up=1, 13 vthd jobs outstanding
[08-10 02:50] ok: /data 5141G, pilot_up=1, 13 vthd jobs outstanding
[08-10 03:00] ok: /data 5141G, pilot_up=1, 13 vthd jobs outstanding
[08-10 03:10] ok: /data 5141G, pilot_up=1, 12 vthd jobs outstanding
[08-10 03:20] ok: /data 5138G, pilot_up=1, 11 vthd jobs outstanding
[08-10 03:30] ok: /data 5130G, pilot_up=1, 11 vthd jobs outstanding
[08-10 03:40] ok: /data 5135G, pilot_up=1, 9 vthd jobs outstanding
[08-10 03:50] ok: /data 5135G, pilot_up=1, 8 vthd jobs outstanding
[08-10 04:00] ok: /data 5135G, pilot_up=1, 8 vthd jobs outstanding
[08-10 04:10] ok: /data 5135G, pilot_up=1, 7 vthd jobs outstanding
[08-10 04:20] ok: /data 5135G, pilot_up=1, 7 vthd jobs outstanding
[08-10 04:30] ok: /data 5135G, pilot_up=1, 7 vthd jobs outstanding
[08-10 04:40] ok: /data 5135G, pilot_up=1, 7 vthd jobs outstanding
[08-10 04:50] ok: /data 5135G, pilot_up=1, 7 vthd jobs outstanding
[08-10 05:00] ok: /data 5135G, pilot_up=1, 7 vthd jobs outstanding
[08-10 05:10] ok: /data 5135G, pilot_up=1, 7 vthd jobs outstanding
[08-10 05:20] ok: /data 5134G, pilot_up=1, 7 vthd jobs outstanding
[08-10 05:30] ok: /data 5134G, pilot_up=1, 7 vthd jobs outstanding
[08-10 05:40] ok: /data 5134G, pilot_up=1, 7 vthd jobs outstanding
[08-10 05:50] ok: /data 5134G, pilot_up=1, 7 vthd jobs outstanding
[08-10 06:00] ok: /data 5134G, pilot_up=1, 7 vthd jobs outstanding
[08-10 06:10] ok: /data 5134G, pilot_up=1, 7 vthd jobs outstanding
[08-10 06:20] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 06:30] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 06:40] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 06:50] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 07:00] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 07:10] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 07:20] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 07:30] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 07:40] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 07:50] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 08:00] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 08:10] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 08:20] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 08:30] ok: /data 5134G, pilot_up=1, 6 vthd jobs outstanding
[08-10 08:40] ok: /data 5134G, pilot_up=1, 5 vthd jobs outstanding
[08-10 08:50] ok: /data 5134G, pilot_up=1, 5 vthd jobs outstanding
[08-10 09:00] ok: /data 5134G, pilot_up=1, 5 vthd jobs outstanding
[08-10 09:10] ok: /data 5134G, pilot_up=1, 5 vthd jobs outstanding
[08-10 09:20] ok: /data 5134G, pilot_up=1, 5 vthd jobs outstanding
[08-10 09:30] ok: /data 5134G, pilot_up=1, 5 vthd jobs outstanding
[08-10 09:40] ok: /data 5133G, pilot_up=1, 5 vthd jobs outstanding
[08-10 09:50] ok: /data 5348G, pilot_up=1, 5 vthd jobs outstanding
[08-10 10:00] ok: /data 5323G, pilot_up=1, 4 vthd jobs outstanding
[08-10 10:10] ok: /data 5317G, pilot_up=1, 4 vthd jobs outstanding
[08-10 10:20] ok: /data 5317G, pilot_up=1, 3 vthd jobs outstanding
[08-10 10:30] ok: /data 5371G, pilot_up=1, 3 vthd jobs outstanding
[08-10 10:40] ok: /data 5529G, pilot_up=1, 3 vthd jobs outstanding
[08-10 10:50] ok: /data 5529G, pilot_up=1, 3 vthd jobs outstanding
[08-10 11:00] ok: /data 5529G, pilot_up=1, 3 vthd jobs outstanding
[08-10 11:10] ok: /data 5527G, pilot_up=1, 3 vthd jobs outstanding
